item_id,item_name,category,disease_target,cold_chain,storage_temp_c,vvm_type,max_transit_hours,shelf_life_days,region_priority,burden_note,_data_provenance
MED_ACT,Artemisinin combination therapy,medicine,malaria,FALSE,ambient,none,720,730,"Rakhine,Sagaing",~300% malaria resurgence since 2021; ITN/RDT/treatment shortages,disease_priority_real_logistics_proxy
MED_RDT_MAL,Malaria rapid diagnostic test,test_kit,malaria,FALSE,ambient,none,720,548,"Rakhine,Sagaing",diagnostic shortages driving preventable malaria deaths,disease_priority_real_logistics_proxy
MED_DENGUE_SUP,Dengue supportive care IV fluid kit,medicine,dengue,FALSE,ambient,none,720,540,"Rakhine,Sagaing",dengue-malaria dual outbreak Mrauk-U/Minbya 2025,disease_priority_real_logistics_proxy
MED_RDT_DEN,Dengue NS1 rapid diagnostic test,test_kit,dengue,FALSE,ambient,none,720,540,"Rakhine,Sagaing","rising annual dengue burden, children under 15 most affected",disease_priority_real_logistics_proxy
MED_ORS,Oral rehydration salts,medicine,cholera_awd,FALSE,ambient,none,720,1095,"Rakhine,Sagaing",cholera/AWD outbreak Jun2024-Apr2025; monsoon waterborne surge,disease_priority_real_logistics_proxy
MED_CHOLERA_KIT,Cholera / AWD treatment kit,medicine,cholera_awd,FALSE,ambient,none,720,730,"Rakhine,Sagaing",AWD/cholera risk post-flood and post-earthquake (Sagaing),disease_priority_real_logistics_proxy
VAC_OCV,Oral cholera vaccine,vaccine,cholera_awd,TRUE,2-8,VVM14,48,730,"Rakhine,Sagaing",outbreak-response immunization for cholera-affected areas,who_range_proxy
VAC_MEASLES,Measles-Rubella vaccine,vaccine,measles,TRUE,2-8,VVM14,48,730,"Rakhine,Sagaing",1.5M under-5 missed routine vaccination; measles resurgence risk,who_range_proxy
VAC_OPV,Oral polio vaccine,vaccine,polio,TRUE,2-8,VVM2,24,365,"Rakhine,Sagaing",polio re-emergence risk; most heat-sensitive (tightest window),who_range_proxy
VAC_PENTA,Pentavalent DTP-HepB-Hib vaccine,vaccine,diphtheria_pertussis,TRUE,2-8,VVM14,48,730,"Rakhine,Sagaing",diphtheria/pertussis outbreak risk; freeze-sensitive,who_range_proxy
VAC_TT,Tetanus toxoid (maternal),vaccine,tetanus,TRUE,2-8,VVM30,72,1095,"Rakhine,Sagaing",maternal/neonatal tetanus; most heat-stable (contrast case),who_range_proxy
MED_ANTIVENOM,Polyvalent snake antivenom,antivenom,snakebite,TRUE,2-8,none,48,1095,"Rakhine,Sagaing",high rural snakebite mortality in Myanmar; time-critical,who_range_proxy
MED_OXYTOCIN,Oxytocin (postpartum hemorrhage),medicine,maternal,TRUE,2-8,none,48,730,"Rakhine,Sagaing",maternal hemorrhage; heat-sensitive; low skilled-birth access,who_range_proxy
MED_SNAKE_ANTIVENOM,Polyvalent snake antivenom,antivenom,snakebite,TRUE,2-8,none,48,1095,"Mandalay,Sagaing,Rakhine",Time-critical treatment for serious venomous snakebite; availability near rural areas is important,WHO_guidance_proxy
MED_SNAKE_WOUND,Snakebite wound-care kit,medical_supply,snakebite,FALSE,ambient,none,720,1095,"Mandalay,Sagaing,Rakhine",Supports emergency assessment and wound care after snakebite,disaster_health_logistics_proxy
MED_TETANUS,Tetanus-containing vaccine,vaccine,snakebite_wound,TRUE,2-8,product_specific,product_specific,product_specific,"Mandalay,Sagaing,Rakhine",May be indicated for wound management depending on vaccination history and wound assessment,vaccine_logistics_proxy
MED_DIABETES_INSULIN,Human insulin,medicine,diabetes,TRUE,2-8,none,24,product_specific,"Mandalay,Sagaing,Rakhine",Essential medicine for people who depend on insulin; cold-chain continuity may be required,chronic_care_logistics_proxy
MED_METFORMIN,Metformin,medicine,type_2_diabetes,FALSE,ambient,none,720,1095,"Mandalay,Sagaing,Rakhine",Common oral medicine for type 2 diabetes management,chronic_care_logistics_proxy
MED_GLIBENCLAMIDE,Glibenclamide,medicine,type_2_diabetes,FALSE,ambient,none,720,1095,"Mandalay,Sagaing,Rakhine",Oral glucose-lowering medicine used in selected patients,chronic_care_logistics_proxy
MED_GLUCOSE,Oral glucose / dextrose,medicine,hypoglycemia,FALSE,ambient,none,720,1095,"Mandalay,Sagaing,Rakhine",Emergency treatment supply for low blood glucose,emergency_health_logistics_proxy
MED_GLUCAGON,Glucagon,medicine,severe_hypoglycemia,product_specific,product_specific,none,product_specific,product_specific,"Mandalay,Sagaing,Rakhine",Emergency option for severe hypoglycemia when appropriate,emergency_health_logistics_proxy
MED_RUTF,Ready-to-use therapeutic food,nutrition,severe_acute_malnutrition,FALSE,ambient,none,720,product_specific,"Mandalay,Sagaing,Rakhine",Used in community-based management of uncomplicated severe acute malnutrition,UNICEF_nutrition_proxy
MED_F75,F-75 therapeutic milk,nutrition,severe_acute_malnutrition,FALSE,ambient,none,720,product_specific,"Mandalay,Sagaing,Rakhine",Used during the initial stabilization phase of severe acute malnutrition under clinical care,WHO_nutrition_proxy
MED_F100,F-100 therapeutic milk,nutrition,severe_acute_malnutrition,FALSE,ambient,none,720,product_specific,"Mandalay,Sagaing,Rakhine",Used during nutritional rehabilitation after stabilization under clinical care,WHO_nutrition_proxy
MED_VIT_A,Vitamin A,medicine,vitamin_a_deficiency,FALSE,ambient,none,720,1095,"Mandalay,Sagaing,Rakhine",Vitamin A supplementation is important in eligible children according to national programs,WHO_nutrition_proxy
MED_MUAC_KIT,MUAC screening tape,medical_supply,malnutrition_screening,FALSE,ambient,none,720,1825,"Mandalay,Sagaing,Rakhine",Helps screen children for acute malnutrition in community settings,UNICEF_nutrition_proxy
MED_THERAPEUTIC_FEED,Therapeutic feeding kit,nutrition,acute_malnutrition,FALSE,ambient,none,720,product_specific,"Mandalay,Sagaing,Rakhine",Supports emergency nutrition programs for children affected by acute malnutrition,UNICEF_nutrition_proxy
MED_ZINC_MAL,Zinc supplementation,medicine,child_malnutrition_diarrhea,FALSE,ambient,none,720,1095,"Mandalay,Sagaing,Rakhine",Zinc may be used for childhood diarrhea according to treatment guidance,WHO_essential_medicine_proxy
VAC_HEPB,Hepatitis B vaccine,vaccine,hepatitis_b,TRUE,2-8,product_specific,product_specific,product_specific,"Mandalay,Sagaing,Rakhine",Routine childhood vaccination helps prevent hepatitis B,vaccine_logistics_proxy
VAC_BCG,BCG vaccine,vaccine,tuberculosis,TRUE,2-8,product_specific,product_specific,product_specific,"Mandalay,Sagaing,Rakhine",Protects children against severe forms of tuberculosis,vaccine_logistics_proxy
VAC_MR,Measles-rubella vaccine,vaccine,measles_rubella,TRUE,2-8,product_specific,product_specific,product_specific,"Mandalay,Sagaing,Rakhine",Important for preventing measles outbreaks where vaccination coverage is disrupted,vaccine_logistics_proxy
VAC_PENTA,Pentavalent DTP-HepB-Hib vaccine,vaccine,diphtheria_pertussis_tetanus_hepb_hib,TRUE,2-8,product_specific,product_specific,product_specific,"Mandalay,Sagaing,Rakhine",Protects children against several vaccine-preventable diseases,vaccine_logistics_proxy
